,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood
278,5150,1.0,1,719,4,6.0,9,0,0,1,1,1,1,0,1,Upper West Side
279,4730,2.0,2,829,3,21.0,15,1,0,0,0,0,0,0,0,Financial District
280,1460,0.0,1,305,5,3.0,57,1,0,0,0,0,0,0,0,Central Harlem
281,5300,1.0,2,1141,6,5.0,113,0,0,0,1,0,0,0,0,Gramercy Park
282,9995,3.0,3,1947,1,8.0,90,0,0,0,0,0,0,0,0,Midtown
283,3950,1.0,1,679,1,6.0,29,0,0,0,0,0,0,0,0,Tribeca
284,2685,1.0,1,550,3,10.0,53,0,0,0,0,1,0,0,0,Midtown East
285,2695,1.0,1,700,2,5.0,106,0,1,0,1,1,0,0,1,Upper West Side
286,3500,1.0,1,625,4,19.0,42,0,0,1,1,1,0,0,1,Upper East Side
287,4000,2.0,1,1024,2,16.0,51,0,0,0,0,0,0,0,0,Upper West Side
288,14000,2.0,2,2556,1,2.0,132,0,0,0,0,0,0,0,0,Soho
289,9950,1.0,1,1238,2,2.0,3,0,0,0,0,0,0,0,0,West Village
290,3675,1.0,1,900,2,4.0,55,0,0,0,0,0,0,0,0,Upper East Side
291,7250,2.0,2,1150,1,3.0,25,0,0,0,1,1,0,0,0,Upper West Side
292,3425,0.0,1,465,2,8.0,17,1,0,0,0,0,0,0,0,Flatiron
293,2125,0.5,1,500,9,6.0,86,0,0,0,0,0,0,0,0,Midtown East
294,4200,1.0,1,800,2,5.0,106,0,0,1,1,1,1,0,1,Flatiron
295,2999,1.0,1,600,2,16.0,65,1,0,0,0,0,1,0,0,Midtown
296,5100,1.0,1,720,3,11.0,115,0,0,0,1,1,0,0,1,Upper East Side
297,5256,2.0,2,979,3,30.0,13,1,0,0,0,0,0,0,0,Midtown
298,3688,0.0,1,766,4,17.0,47,1,0,0,0,0,0,0,0,Financial District
299,2595,1.0,1,650,4,4.0,106,0,0,0,0,0,0,0,0,Upper West Side
300,3850,1.0,1,800,7,16.0,34,0,1,0,1,1,1,0,1,Midtown East
301,4000,1.0,1,687,3,16.0,31,0,0,1,0,1,0,0,0,Battery Park City
302,3290,1.0,1,750,2,10.0,89,0,0,0,0,0,0,0,0,Midtown
303,2100,1.0,1,650,4,5.0,88,0,0,0,0,0,0,0,0,Washington Heights
304,5200,4.0,2,1000,2,2.0,116,0,0,0,0,0,0,0,0,Upper West Side
305,10000,2.0,2,1350,2,53.0,38,0,0,0,0,0,0,0,0,Midtown West
306,6300,2.0,2,1260,8,5.0,46,1,0,0,0,0,0,0,0,Upper East Side
307,4870,2.0,2,972,4,8.0,28,1,0,0,0,0,0,0,0,Upper West Side
308,4500,1.0,2,890,9,3.0,106,1,0,0,0,0,0,0,0,Gramercy Park
309,6000,1.0,1,801,1,1.0,3,0,0,0,0,0,0,0,0,East Village
310,2500,2.0,1,800,4,4.0,96,0,0,0,0,0,0,0,0,Upper East Side
311,14500,4.0,5,2700,8,30.0,18,1,1,1,0,1,1,0,1,Upper East Side
